sex,race,stage,age_group,count,mean_age,sd_age,denominator,percentage,cancer_site
Female,White,Regional,2,846,79.92249020820449,3.920468526552339,4851,17.43970315398887,Ovary
Female,White,Distant,2,3300,79.92249020820449,3.920468526552339,4851,68.02721088435374,Ovary
Female,Black,Localised,2,71,79.76959619952494,3.796819104559422,421,16.8646080760095,Ovary
Female,Black,Regional,2,51,79.76959619952494,3.796819104559422,421,12.11401425178147,Ovary
Female,Black,Distant,2,299,79.76959619952494,3.796819104559422,421,71.02137767220903,Ovary
Male,White,Localised,1,4399,62.49449763398261,9.197601928730576,18174,24.20490811048751,Pancreas
Male,White,Regional,1,6420,62.49449763398261,9.197601928730576,18174,35.3251898316276,Pancreas
Male,White,Distant,1,7355,62.49449763398261,9.197601928730576,18174,40.46990205788489,Pancreas
Male,Black,Localised,1,572,60.66332218506132,9.579387914953386,2691,21.25603864734299,Pancreas
Male,Black,Regional,1,912,60.66332218506132,9.579387914953386,2691,33.8907469342252,Pancreas
Male,Black,Distant,1,1207,60.66332218506132,9.579387914953386,2691,44.85321441843181,Pancreas
Male,White,Localised,2,1728,79.8805166846071,3.81529409141546,6503,26.57235122251269,Pancreas
Male,White,Regional,2,2214,79.8805166846071,3.81529409141546,6503,34.04582500384439,Pancreas
Male,White,Distant,2,2561,79.8805166846071,3.81529409141546,6503,39.38182377364294,Pancreas
Male,Black,Localised,2,160,79.74704890387858,3.844102480120938,593,26.9814502529511,Pancreas
Male,Black,Regional,2,201,79.74704890387858,3.844102480120938,593,33.89544688026982,Pancreas
Male,Black,Distant,2,232,79.74704890387858,3.844102480120938,593,39.12310286677909,Pancreas
Female,White,Localised,1,3984,61.73998827896074,10.66412425159809,15357,25.94256690759914,Pancreas
Female,White,Regional,1,5635,61.73998827896074,10.66412425159809,15357,36.69336458943804,Pancreas
Female,White,Distant,1,5738,61.73998827896074,10.66412425159809,15357,37.36406850296282,Pancreas
Female,Black,Localised,1,824,60.29572872513857,10.62144033531114,3067,26.86664492989892,Pancreas
Female,Black,Regional,1,1074,60.29572872513857,10.62144033531114,3067,35.01793283338768,Pancreas
Female,Black,Distant,1,1169,60.29572872513857,10.62144033531114,3067,38.1154222367134,Pancreas
Female,White,Localised,2,1635,80.24029962546817,3.955789530829334,6675,24.49438202247191,Pancreas
Female,White,Regional,2,2409,80.24029962546817,3.955789530829334,6675,36.08988764044943,Pancreas
Female,White,Distant,2,2631,80.24029962546817,3.955789530829334,6675,39.41573033707865,Pancreas
Female,Black,Localised,2,230,80.32984901277584,4.011367985701543,861,26.71312427409989,Pancreas
Female,Black,Regional,2,284,80.32984901277584,4.011367985701543,861,32.98490127758421,Pancreas
Female,Black,Distant,2,347,80.32984901277584,4.011367985701543,861,40.30197444831592,Pancreas
Male,White,Localised,1,13599,57.79589958880869,10.17350245826264,34777,39.10343042815654,Rectum
Male,White,Regional,1,15287,57.79589958880869,10.17350245826264,34777,43.95721310061248,Rectum
Male,White,Distant,1,5891,57.79589958880869,10.17350245826264,34777,16.93935647123098,Rectum
Male,Black,Localised,1,2123,57.43463351907415,9.847590585923941,4666,45.49935705100729,Rectum
Male,Black,Regional,1,1680,57.43463351907415,9.847590585923941,4666,36.00514359194171,Rectum
Male,Black,Distant,1,863,57.43463351907415,9.847590585923941,4666,18.49549935705101,Rectum
Male,White,Localised,2,2590,80.036830162332,3.973446009523573,5729,45.20858788619305,Rectum
Male,White,Regional,2,2386,80.036830162332,3.973446009523573,5729,41.64775702565893,Rectum
Male,White,Distant,2,753,80.036830162332,3.973446009523573,5729,13.14365508814802,Rectum
Male,Black,Localised,2,221,79.87548638132296,3.93118960523272,514,42.99610894941635,Rectum
Male,Black,Regional,2,179,79.87548638132296,3.93118960523272,514,34.82490272373541,Rectum
Male,Black,Distant,2,114,79.87548638132296,3.93118960523272,514,22.17898832684825,Rectum
Female,White,Localised,1,9906,57.11895031189503,10.56128728534265,23245,42.61561626156163,Rectum
Female,White,Regional,1,9674,57.11895031189503,10.56128728534265,23245,41.61755216175521,Rectum
Female,White,Distant,1,3665,57.11895031189503,10.56128728534265,23245,15.76683157668316,Rectum
Female,Black,Localised,1,2200,55.98320847326272,10.58581163134189,3871,56.83285972616895,Rectum
Female,Black,Regional,1,1146,55.98320847326272,10.58581163134189,3871,29.60475329372255,Rectum
Female,Black,Distant,1,525,55.98320847326272,10.58581163134189,3871,13.5623869801085,Rectum
Female,White,Localised,2,2002,80.48356914650844,4.088116319516455,4382,45.68690095846645,Rectum
Female,White,Regional,2,1746,80.48356914650844,4.088116319516455,4382,39.84481971702419,Rectum
Female,White,Distant,2,634,80.48356914650844,4.088116319516455,4382,14.46827932450936,Rectum
Female,Black,Localised,2,224,80.17699115044248,4.06265800182994,452,49.5575221238938,Rectum
Female,Black,Regional,2,160,80.17699115044248,4.06265800182994,452,35.39823008849557,Rectum
Female,Black,Distant,2,68,80.17699115044248,4.06265800182994,452,15.04424778761062,Rectum
