sex,race,cancer_site,age_group,cases,excluded_1,excluded_2,excluded_3,excluded_4,excluded_5,excluded_6,included,denominator_1,denominator_2,denominator_3,denominator_4,denominator_5,denominator_6,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_included
Female,Black,Pancreas,1,14573,17,222,16,0,0,814,13504,14573,14556,14334,14318,14318,14318,.1166540863240239,1.525144270403957,.1116227152225478,0,0,5.685151557480095,92.66451657174227
Female,White,Pancreas,2,61209,45,4711,0,7407,0,6091,42955,61209,61164,56453,56453,49046,49046,.0735186002058521,7.702243149565104,0,13.12064903548084,0,12.41895363536272,70.17758826316391
Female,Black,Pancreas,2,7820,8,515,0,869,0,741,5687,7820,7812,7297,7297,6428,6428,.1023017902813299,6.59242191500256,0,11.90900370015075,0,11.52769135034225,72.7237851662404
Male,White,Rectum,1,115040,1282,380,7,0,9,6493,106869,115040,113758,113378,113371,113371,113362,1.114394993045897,.3340424409711845,.0061740372911852,0,.0079385380741107,5.727668883752933,92.89725312934631
Male,Black,Rectum,1,16450,202,89,3,0,0,1323,14833,16450,16248,16159,16156,16156,16156,1.227963525835866,.5477597242737567,.018565505291169,0,0,8.188908145580589,90.17021276595744
Male,White,Rectum,2,32231,642,327,0,2359,5,2760,26138,32231,31589,31262,31262,28903,28898,1.991871179919953,1.035170470733483,0,7.54590237348858,.0172992422931876,9.550833967748632,81.09583940926437
Male,Black,Rectum,2,2765,62,31,0,156,0,303,2213,2765,2703,2672,2672,2516,2516,2.242314647377939,1.146873843877174,0,5.838323353293413,0,12.0429252782194,80.03616636528029
Female,White,Rectum,1,74693,666,181,4,0,6,4616,69220,74693,74027,73846,73842,73842,73836,.8916498199295785,.2445053831710052,.0054166779514124,0,.0081254570569595,6.251692941112736,92.67267347676488
Female,Black,Rectum,1,12953,168,36,0,0,2,1221,11526,12953,12785,12749,12749,12749,12747,1.296996834710106,.2815799765350019,0,0,.0156875049023453,9.578724405742529,88.98324712421832
Female,White,Rectum,2,28872,461,551,0,3565,2,2528,21765,28872,28411,27860,27860,24295,24293,1.596702687725132,1.939389673013973,0,12.79612347451543,.0082321465322083,10.40628987774256,75.38445552784705
Female,Black,Rectum,2,3048,59,64,0,336,1,331,2257,3048,2989,2925,2925,2589,2588,1.935695538057743,2.141184342589495,0,11.48717948717949,.0386249517188103,12.78979907264297,74.0485564304462
