site,agegroup,stage,sex,race,estimate_percent,lower_percent,upper_percent
Lung and bronchus,<75,Distant,Male,White,11.41739636659622,10.92016994953156,11.9372621178627
Lung and bronchus,<75,Localised,Male,White,53.78383994102478,52.74861454963684,54.83938455581665
Lung and bronchus,<75,Regional,Male,White,34.40399169921875,33.36322605609894,35.47722101211548
Oral cavity and pharynx,75+,Distant,Female,Black,17.87461340427399,10.04944294691086,31.79298937320709
Oral cavity and pharynx,75+,Localised,Female,Black,58.67831707000732,52.46400237083435,65.62871336936951
Oral cavity and pharynx,75+,Regional,Female,Black,29.68301475048065,21.66580110788345,40.66691994667053
Oral cavity and pharynx,75+,Distant,Male,Black,14.99842554330826,9.662760049104691,23.28038364648819
Oral cavity and pharynx,75+,Localised,Male,Black,47.80417382717133,42.57944226264954,53.67001295089722
Oral cavity and pharynx,75+,Regional,Male,Black,27.71348059177399,22.27353006601334,34.48205590248108
Oral cavity and pharynx,75+,Distant,Female,White,20.49178034067154,16.73072874546051,25.09831190109253
Oral cavity and pharynx,75+,Localised,Female,White,56.74653053283691,53.94312739372253,59.69563126564026
Oral cavity and pharynx,75+,Regional,Female,White,35.31525731086731,32.53792226314545,38.32965791225433
Oral cavity and pharynx,75+,Distant,Male,White,17.4664780497551,14.8683026432991,20.5186739563942
Oral cavity and pharynx,75+,Localised,Male,White,48.95323812961578,46.69638276100159,51.31916999816895
Oral cavity and pharynx,75+,Regional,Male,White,35.24273931980133,33.48997235298157,37.08724081516266
Oral cavity and pharynx,<75,Distant,Female,Black,32.86174833774567,25.42531788349152,42.47319400310516
Oral cavity and pharynx,<75,Localised,Female,Black,83.21202993392944,78.62743139266968,88.06394934654236
Oral cavity and pharynx,<75,Regional,Female,Black,56.63285255432129,51.71350240707397,62.02016472816467
Oral cavity and pharynx,<75,Distant,Male,Black,24.08066838979721,19.76376622915268,29.34048771858215
Oral cavity and pharynx,<75,Localised,Male,Black,68.62919330596924,63.3569598197937,74.34015870094299
Oral cavity and pharynx,<75,Regional,Male,Black,53.96537780761719,50.91289281845093,57.20087289810181
Oral cavity and pharynx,<75,Distant,Female,White,38.4987860918045,34.41442549228668,43.06788742542267
Oral cavity and pharynx,<75,Localised,Female,White,81.92412257194519,80.47405481338501,83.40031504631042
Oral cavity and pharynx,<75,Regional,Female,White,64.03020024299622,62.23059296607971,65.88184237480164
Oral cavity and pharynx,<75,Distant,Male,White,32.31441080570221,30.20418286323547,34.57207381725311
Oral cavity and pharynx,<75,Localised,Male,White,72.59293794631958,71.25942707061768,73.95139932632446
Oral cavity and pharynx,<75,Regional,Male,White,65.47333002090454,64.60297703742981,66.35541319847107
Ovary,75+,Distant,Female,Black,11.90581619739532,8.358707278966904,16.95817857980728
Ovary,75+,Localised,Female,Black,54.93770837783813,46.58674299716949,64.78562951087952
Ovary,75+,Regional,Female,Black,28.42604219913483,20.86398601531982,38.728928565979
Ovary,75+,Distant,Female,White,16.98832660913467,15.45417755842209,18.67477148771286
Ovary,75+,Localised,Female,White,57.1905791759491,52.45212316513062,62.35710382461548
Ovary,75+,Regional,Female,White,36.15623712539673,32.36778676509857,40.38810133934021
Ovary,<75,Distant,Female,Black,32.80163407325745,29.29900288581848,36.72299981117249
Ovary,<75,Localised,Female,Black,84.07206535339355,79.95873093605042,88.39700222015381
Ovary,<75,Regional,Female,Black,62.69384622573853,56.70950412750244,69.3096935749054
Ovary,<75,Distant,Female,White,40.20490646362305,38.70424032211304,41.76375567913055
Ovary,<75,Localised,Female,White,85.5656623840332,84.18057560920715,86.97354197502136
Ovary,<75,Regional,Female,White,69.98614072799683,67.97800660133362,72.05359935760498
Pancreas,75+,Distant,Female,Black,1.371429022401571,.7272254209965467,2.58629247546196
Pancreas,75+,Localised,Female,Black,13.23575228452682,9.608925879001617,18.23150217533112
Pancreas,75+,Regional,Female,Black,5.917635187506676,3.97782176733017,8.803412318229675
Pancreas,75+,Distant,Male,Black,2.211440168321133,1.178799942135811,4.148683696985245
Pancreas,75+,Localised,Male,Black,16.87606275081635,12.58976459503174,22.62167185544968
